"CODUSU";"TRIM";"ANO4";"AGLOMERADO";"NRO_HOGAR";"PROVINCIA";"ITF";"IPCF";"REALIZADA";"PONDIH";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4";"PONDERA"
"TQRMNOQUTHKLKMCDEHPJB00790896";3;2023;29;1;90;386090;96522,5;1;540;3;3;2;0;1;1;2;2;0;2;0;6;"";1;"";1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;2;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;469
"TQRMNOSSVHKLKMCDEHPJB00790892";3;2023;29;1;90;204000;102000;1;626;3;1;2;0;1;1;2;2;0;2;0;1;"";1;"";1;2;1;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;"";3;1;"";2;1;1;1;"";1;1;1;1;2;2;2;2;0;98;0;0;0;535
"TQRMNOSSTHKLKMCDEHPJB00790891";3;2023;29;1;90;260000;65000;1;532;3;2;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;1;2;2;2;2;4;1;3;2;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;0;2;0;0;0;478
"TQRMNOQUVHKLKMCDEHPJB00790889";3;2023;29;1;90;59000;59000;1;382;3;2;2;0;1;1;2;2;0;2;0;3;"";1;"";1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;2;"";3;1;"";9;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;326
"TQRMNOSSUHKLKMCDEHPJB00795910";3;2023;29;1;90;470000;156666,67;1;418;3;3;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;3;0;3;2;"";3;1;"";2;1;1;1;"";1;1;1;1;2;2;2;1;0;2;3;0;0;326
"TQRMNOWTRHMKKRCDEHPJB00811491";3;2023;29;1;90;310000;310000;1;506;2;1;2;0;1;1;1;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;1;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;466
"TQRMNOVVSHMKKRCDEHPJB00811613";3;2023;29;1;90;785000;157000;1;810;4;3;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;0;5;1;"";4;1;"";3;1;1;1;"";1;1;1;1;2;2;2;2;0;3;0;0;0;701
"TQRMNOWSYHMKKRCDEHPJB00811567";3;2023;29;1;90;290000;72500;1;800;3;3;2;0;1;1;1;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;4;2;2;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;0;1;3;0;0;689
"TQRMNOWTQHMKKRCDEHPJB00811563";3;2023;29;1;90;559000;139750;1;772;3;2;2;0;1;1;2;2;0;2;0;3;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;0;96;0;0;0;659
"TQRMNOVVQHMKKRCDEHPJB00811517";3;2023;29;1;90;0;0;1;0;5;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;0;3;1;"";5;1;"";3;1;1;1;"";1;1;1;1;2;1;2;96;0;2;0;0;0;628
